Faculty_Full_Name,Top_Mesh_Terms
"Acharya, Munjal Mahendra","['Hippocampus', 'Neuronal_Plasticity', 'Cognitive_Dysfunction', 'Neoplasms', 'Synapses']"
"Calof, Anne L","['Brain', 'Mutation', 'Phenotype', 'Cell_Cycle_Proteins', 'HEK293_Cells']"
"Chen, Lulu Y","['Hippocampus', 'Synaptic_Transmission', 'Transcription_Factors', 'Nerve_Net', 'Adipocytes']"
"Diaz Alonso, Javier","['Long_Term_Potentiation', 'Synapses', 'Synaptic_Transmission']"
"Ewell, Laura Ann","['Hippocampus', 'Neurons', 'Dentate_Gyrus']"
"Gall, Christine M","['Hippocampus', 'Long_Term_Potentiation', 'Dentate_Gyrus', 'Synapses', 'Neuronal_Plasticity']"
"Hunt, Robert Francis","['Brain', 'Hippocampus', 'Neurons', 'Long_Term_Potentiation', 'Synapses']"
"Igarashi, Kei","['Entorhinal_Cortex', 'Neurons', 'Learning', 'Hippocampus', 'Brain']"
"Lyon, David Christian","['Retinal_Degeneration', 'Retinal_Cone_Photoreceptor_Cells', 'Brain', 'Neurons', 'HEK293_Cells']"
"Piomelli, Daniele","['Endocannabinoids', 'Dronabinol', 'Brain', 'Amidohydrolases', 'Signal_Transduction']"
"Reinkensmeyer, David J","['Stroke', 'Aged', 'Treatment_Outcome', 'Spinal_Cord_Injuries', 'Learning']"
"Steward, Oswald","['Spinal_Cord_Injuries', 'Dentate_Gyrus', 'Neurons', 'Hippocampus', 'Genetic_Vectors']"
"Watanabe Kuwata, Momoko","['Transcriptome', 'COVID_19', 'Single_Cell_Analysis', 'Stroke', 'SARS_CoV_2']"
"Xu, Xiangmin","['Brain', 'Neurons', 'Alzheimer_Disease', 'Aged', 'Genetic_Vectors']"
"Buisson, Remi","['Cytidine_Deaminase', 'Neoplasms', 'DNA', 'HEK293_Cells', 'Mutation']"
"Dai, Xing","['Transcription_Factors', 'Epithelial_Cells', 'Aged', 'Signal_Transduction', 'Cell_Differentiation']"
"Donovan, Peter J","['Chromatin', 'Protein_Binding', 'Cell_Line']"
"Jang, Cholsoon","['Liver', 'Breast_Neoplasms', 'Homeostasis', 'Cell_Proliferation', 'Biomarkers']"
"Kaiser, Peter","['Neoplasms', 'Cell_Line__Tumor', 'DNA_Binding_Proteins', 'Saccharomyces_cerevisiae', 'Saccharomyces_cerevisiae_Proteins']"
"Kessenbrock, Kai","['Signal_Transduction', 'Cell_Differentiation', 'Breast_Neoplasms', 'Epithelial_Cells', 'Breast']"
"Li, Wei","['Transcriptome', 'Polyadenylation', 'Aged', 'RNA__Messenger', 'Gene_Expression_Regulation']"
"Liu, Haoping","['Aged', 'COVID_19', 'Aged__80_and_over', 'Aedes', 'Macrophages']"
"Marazzi, Ivan","['Signal_Transduction', 'Transcription_Factors', 'CD8_Positive_T_Lymphocytes', 'DNA_Damage', 'Mutation']"
"Masri, Selma","['Circadian_Clocks', 'Circadian_Rhythm', 'Signal_Transduction', 'Neoplasms', 'Liver']"
"Ng, Stanley Wai Kwong","['Liver', 'Ligands']"
"Qiao, Feng","['DNA', 'Epigenesis__Genetic', 'Heterochromatin', 'Neoplasms', 'Mutation']"
"Sandmeyer, Suzanne B",[]
"Seldin, Marcus Michael","['Adipocytes', 'Obesity', 'Liver', 'Muscle__Skeletal', 'Proteomics']"
"Steele, Robert E","['Neurons', 'Cell_Differentiation', 'Epithelial_Cells', 'Nerve_Net', 'Animals__Genetically_Modified']"
"Yokomori, Kyoko","['Homeodomain_Proteins', 'Transcriptome', 'Cell_Differentiation', 'Muscle__Skeletal', 'Single_Cell_Analysis']"
"Baker, Nicholas Edward",[]
"Barbour, Alan G","['Phenotype', 'Peptides']"
"Borrelli, Emilia","['Neurons', 'Aged', 'Liver', 'Circadian_Clocks', 'Aged__80_and_over']"
"Burke, Thomas P",[]
"Byun, Minji","['Mutation', 'CD8_Positive_T_Lymphocytes', 'Epigenesis__Genetic', 'Gene_Expression', 'RNA__Nuclear']"
"Goldin, Alan L",[]
"Hertel, Klemens J","['Alternative_Splicing', 'RNA_Splicing', 'Cell_Line__Tumor', 'RNA_Binding_Proteins', 'Cell_Proliferation']"
"James, Anthony A","['Mosquito_Vectors', 'Aedes', 'Animals__Genetically_Modified', 'Malaria', 'CRISPR_Cas_Systems']"
"Koyuncu, Orkide","['Neurons', 'Virus_Latency', 'Brain', 'Alzheimer_Disease', 'Nerve_Net']"
"Marsden, Matthew D","['HIV_Infections', 'Virus_Latency', 'CD4_Positive_T_Lymphocytes', 'Virus_Replication', 'Cytokines']"
"Mcclelland, Michael","['Salmonella_typhimurium', 'Bacterial_Proteins', 'Macrophages', 'Inflammation', 'Transcription_Factors']"
"Semler, Bert L","['Virus_Replication', 'HEK293_Cells', 'CRISPR_Cas_Systems', 'Virus_Diseases', 'Brain']"
"Shi, Yongsheng","['Aged', 'RNA__Messenger', 'Gene_Expression_Regulation', 'Neurons', 'HEK293_Cells']"
"Tan, Ming","['Mutation', 'Bacterial_Proteins', 'Aged', 'Transcription_Factors', 'Gene_Expression_Regulation']"
"Abbott, Geoffrey Winston","['HEK293_Cells', 'Mutation', 'Neuronal_Plasticity', 'Ligands', 'Ventral_Tegmental_Area']"
"Beier, Kevin T","['Ventral_Tegmental_Area', 'Neurons', 'Dopamine', 'Brain', 'Hippocampus']"
"Cahalan, Michael","['Microglia', 'Alzheimer_Disease', 'Calcium', 'Induced_Pluripotent_Stem_Cells', 'Neurons']"
"Davies, David Huw","['Antibodies__Viral', 'Influenza_Vaccines', 'Adjuvants__Immunologic', 'Influenza__Human', 'Mice__Inbred_BALB_C']"
"Eguchi, Asuka",[]
"Felgner, Philip","['COVID_19', 'Malaria__Falciparum', 'Antibodies__Viral', 'SARS_CoV_2', 'Plasmodium_falciparum']"
"Hicks, Michael Ryan","['Muscle__Skeletal', 'Pluripotent_Stem_Cells', 'Cell_Differentiation', 'Homeodomain_Proteins']"
"Holmes, Todd C","['Neurons', 'Brain', 'Alzheimer_Disease', 'Hippocampus', 'Neural_Pathways']"
"Huang, Lan","['Protein_Binding', 'Proteomics', 'HEK293_Cells', 'RNA__Messenger', 'RNA_Binding_Proteins']"
"Jin, Rongsheng","['Bacterial_Toxins', 'Clostridioides_difficile', 'Bacterial_Proteins', 'Signal_Transduction', 'Neoplasms']"
"Jusiak, Barbara","['Transcription_Factors', 'Gene_Expression', 'Animals__Genetically_Modified']"
"Kiser, Philip","['Retinaldehyde', 'Retina', 'Retinal_Pigment_Epithelium', 'Retinal_Degeneration', 'Retinal_Cone_Photoreceptor_Cells']"
"Lawson, Devon A","['Brain', 'Microglia', 'Breast_Neoplasms', 'Single_Cell_Analysis', 'Endothelial_Cells']"
"Marangoni, Francesco","['Cell_Line__Tumor', 'CD8_Positive_T_Lymphocytes', 'Immune_Checkpoint_Inhibitors', 'Signal_Transduction', 'Neoplasms']"
"Othy, Shivashankar","['Neoplasms', 'Microglia', 'Immune_Checkpoint_Inhibitors', 'Neurons', 'Aged']"
"Pathak, Medha","['Ion_Channels', 'Brain', 'Calcium', 'Neural_Stem_Cells']"
"Skowronska-Krawczyk, Dorota","['Retinal_Pigment_Epithelium', 'Retina', 'Macular_Degeneration', 'Retinal_Degeneration', 'Chromatin']"
"Tombola, Francesco","['Ion_Channels', 'Ligands']"
"Villalta, Sergio Armando","['Muscle__Skeletal', 'CD8_Positive_T_Lymphocytes', 'Brain', 'Microglia', 'Transcriptome']"
"Wagar, Lisa","['Organoids', 'Influenza_Vaccines', 'Influenza__Human', 'Antibodies__Viral', 'B_Lymphocytes']"
"Yu, Alvin","['COVID_19', 'Aged', 'HEK293_Cells', 'RNA__Messenger', 'SARS_CoV_2']"
"Monuki, Edwin","['Brain', 'Organoids', 'Neural_Stem_Cells', 'Neurons', 'Aged']"
